2021-05-24 15:35:37,780 [AUDIT] Token created by 'anonymous': tokenId='04f03b47-447c-4698-83b9-0bd75dad9844', issuer='jfrt@01egqnftzj6k361sybwh4017ts', subject='jfrt@01egqnftzj6k361sybwh4017ts', expiry=none, refreshable=false
2021-05-24 15:35:37,927 [AUDIT] Token created by 'anonymous': tokenId='df613113-2ca7-4e69-82fd-34a5708d5dc5', issuer='jfmd@01egqnfnbcnw7kzmxycx813qb6', subject='jfmd@01egqnfnbcnw7kzmxycx813qb6', expiry=none, refreshable=false
2021-05-24 15:35:41,283 [AUDIT] Token created by 'jfrt@01egqnftzj6k361sybwh4017ts': tokenId='c3649c8e-df4a-4551-be7b-9cdf4adf7390', issuer='jfrt@01egqnftzj6k361sybwh4017ts', subject='jfrt@01egqnftzj6k361sybwh4017ts', expiry=2567950541271, refreshable=false
2021-05-24 15:35:50,348 [AUDIT] Token created by 'anonymous': tokenId='84dc29a3-2ee4-4397-8b08-adfb6a63bd2d', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2021-05-24 15:35:50,422 [AUDIT] Token created by 'jffe@000': tokenId='6d49586a-fd44-434a-967b-b85a1a7ce133', issuer='jffe@000', subject='jffe@000', expiry=1621871150421, refreshable=false
2021-05-24 15:45:53,052 [AUDIT] Token created by 'jffe@000': tokenId='3f11ce5e-eaec-46be-a0bf-d4dca8bf8b6e', issuer='jffe@000', subject='jffe@000', expiry=1621871753052, refreshable=false
2021-05-24 15:45:53,054 [AUDIT] Token created by 'jffe@000': tokenId='db95cfc1-d770-467d-a814-4866071f77b0', issuer='jffe@000', subject='jffe@000', expiry=1621871753054, refreshable=false
2021-05-24 15:45:53,057 [AUDIT] Token created by 'jffe@000': tokenId='21ec1655-bfe8-40c3-ae0e-51d429f0140d', issuer='jffe@000', subject='jffe@000', expiry=1621871753057, refreshable=false
2021-05-24 15:45:53,071 [AUDIT] Token created by 'jffe@000': tokenId='928898db-c3b1-48d3-87b2-e47b90568534', issuer='jffe@000', subject='jffe@000', expiry=1621871753071, refreshable=false
2021-05-24 15:55:53,113 [AUDIT] Token created by 'jffe@000': tokenId='4d9371e7-b5ee-49f0-938d-caf849aa50a3', issuer='jffe@000', subject='jffe@000', expiry=1621872353113, refreshable=false
2021-05-24 15:55:53,116 [AUDIT] Token created by 'jffe@000': tokenId='2b6a27b5-2329-4251-8bde-5e2859c1b7dc', issuer='jffe@000', subject='jffe@000', expiry=1621872353116, refreshable=false
2021-05-24 15:55:53,116 [AUDIT] Token created by 'jffe@000': tokenId='30e6cf87-376d-4631-9692-1ef6f2353ad5', issuer='jffe@000', subject='jffe@000', expiry=1621872353116, refreshable=false
2021-05-24 15:55:53,119 [AUDIT] Token created by 'jffe@000': tokenId='d2f35f33-0be6-4884-ac5b-7f7d4f5b6e35', issuer='jffe@000', subject='jffe@000', expiry=1621872353119, refreshable=false
2021-05-24 16:05:53,235 [AUDIT] Token created by 'jffe@000': tokenId='0fb65b67-e802-4c58-8bd0-860fc9871fe0', issuer='jffe@000', subject='jffe@000', expiry=1621872953235, refreshable=false
2021-05-24 16:05:53,235 [AUDIT] Token created by 'jffe@000': tokenId='a9e5eeae-0e75-48ea-87c9-cacf9ed3422a', issuer='jffe@000', subject='jffe@000', expiry=1621872953235, refreshable=false
2021-05-24 16:05:53,246 [AUDIT] Token created by 'jffe@000': tokenId='aa099fca-4b22-4bce-ba3f-286dde89c2f2', issuer='jffe@000', subject='jffe@000', expiry=1621872953246, refreshable=false
2021-05-24 16:05:53,247 [AUDIT] Token created by 'jffe@000': tokenId='1bb4e5fb-d6c7-4c55-b625-884ab0841edb', issuer='jffe@000', subject='jffe@000', expiry=1621872953247, refreshable=false
2021-05-24 16:15:53,294 [AUDIT] Token created by 'jffe@000': tokenId='f2f3b31a-6dcc-4bc0-a85f-0e77f0997ee4', issuer='jffe@000', subject='jffe@000', expiry=1621873553294, refreshable=false
2021-05-24 16:15:53,294 [AUDIT] Token created by 'jffe@000': tokenId='52776758-84b1-4b99-8e8a-59ed6ddd2e34', issuer='jffe@000', subject='jffe@000', expiry=1621873553294, refreshable=false
2021-05-24 16:15:53,305 [AUDIT] Token created by 'jffe@000': tokenId='b9408bc9-643d-4d28-ba22-62a2bd2e1483', issuer='jffe@000', subject='jffe@000', expiry=1621873553304, refreshable=false
